gene_symbol,n_samples,n_events,n_samples_tumor,n_samples_normal,n_as_gene1,n_as_gene2,n_high_confidence,n_medium_confidence,n_low_confidence,n_inframe,n_outofframe,n_frame_unknown,n_intergenic_flank,sites_observed,types_observed,max_split_reads_total,max_discordant_mates,median_coverage,samples,recurrence_tier,translatedmRNA.apvEff,translatedmRNA.apvRvmPAdj,totalmRNA.apvEff,totalmRNA.apvRvmPAdj,translation.apvEff,translation.apvRvmPAdj,buffering.apvEff,buffering.apvRvmPAdj,singleRegMode
ANGPTL3,1,2,1,0,2,0,0,0,2,0,0,2,0,3'UTR,"translocation,translocation/3'-3'",0,0,28,SRR6939931.arriba,tumor_exclusive,-1.832696245,0.015403381,0.046605296,0.931457442,-1.880156102,0.0085999720000000009,1.251832399,0.009181941,translation
ARL6IP1,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,deletion/read-through/5'-5',0,0,0,SRR6939927.arriba,tumor_exclusive,-0.048646953,0.923526586,0.8416478,0.025378624,-0.586526192,0.21890197,0.863201289,0.016711571,buffering
ARMC1,1,2,1,0,2,0,0,0,2,0,0,2,1,"intergenic,intron",deletion/read-through,0,0,1.5,SRR6939964.arriba,tumor_exclusive,0.730436171,0.052105643,1.571878197,0.003122758,-0.048882762,0.909173725,0.740656172,0.046054348,abundance
ATP6V1F,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,0,SRR6939964.arriba,tumor_exclusive,1.32697798,8.3625e-4,0.727828958,0.022284461,1.5729934270000001,0.007598886,1.506920717,0.003525089,translation
AURKAIP1,1,2,1,0,1,1,0,0,2,0,0,2,2,intergenic,deletion/read-through,0,0,0.5,SRR6939927.arriba,tumor_exclusive,0.144150072,0.680391672,-0.687284954,0.032165191,0.48700467,0.150763672,-0.768734095,0.015408026,background
AZI2,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through/3'-3',0,0,0,SRR6939956.arriba,tumor_exclusive,-0.55798042,0.137162337,0.532675237,0.097616766,-0.292072021,0.468956566,0.291390567,0.335943325,background
BDH2,1,2,1,0,2,0,0,0,2,0,0,2,2,intergenic,"inversion,translocation",0,0,2,SRR6939935.arriba,tumor_exclusive,-2.248147286,5.2455e-4,-1.912668589,0.004679261,-1.562669513,0.019699685,-0.11800176,0.895147006,translation
BLNK,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,"translocation,translocation/3'-3'",0,0,0,SRR6939964.arriba,tumor_exclusive,-1.008968703,0.03955757,-1.034512037,0.015079125,-0.351412016,0.471884376,-0.513669343,0.189760493,abundance
C1orf50,1,2,1,0,2,0,0,0,2,0,0,2,0,CDS,deletion/read-through/5'-5',0,0,3,SRR6939947.arriba,tumor_exclusive,0.171193295,0.852254729,-0.036613415,0.922510395,0.170353304,0.876468415,-0.036026187,0.930938364,background
CD14,1,2,1,0,0,2,0,0,2,0,0,2,0,CDS,deletion/read-through/5'-5',0,0,25,SRR6939931.arriba,tumor_exclusive,-2.085369058,2.31498e-4,-2.219700095,1.79133e-4,-0.771672402,0.101181377,-0.459568521,0.293157909,abundance
CFHR3,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,"translocation,translocation/3'-3'",0,0,4,SRR6939927.arriba,tumor_exclusive,-3.076207807,0.002599636,-2.668153192,0.00729351,-1.011943516,0.057479242,0.651236837,0.214122382,translation
CHMP7,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through/5'-5',0,0,0,SRR6939964.arriba,tumor_exclusive,-0.336767902,0.323964265,-0.642767595,0.029284404,-0.238711641,0.60160075,-0.607656614,0.040424295,buffering
CISD1,1,2,1,0,1,1,0,0,2,0,0,2,1,"intergenic,intron",deletion/read-through,0,0,0.5,SRR6939964.arriba,tumor_exclusive,0.447253778,0.295152236,0.765794924,0.200453293,0.458196549,0.335915241,0.785299238,0.223049943,buffering
CKB,1,2,1,0,2,0,0,0,2,0,0,2,0,3'UTR,deletion/read-through/3'-3',0,0,8,SRR6939931.arriba,tumor_exclusive,2.000208382,0.019139835,0.263312468,0.782219397,1.853151262,0.015300099,-1.670466136,0.04509427,translation
CRTC2,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through/5'-5',0,0,0,SRR6939935.arriba,tumor_exclusive,0.70993521,0.035995101,0.002898982,0.991914911,0.711419667,0.038674236,0.316711045,0.255947394,background
CSPG4,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,"translocation,translocation/5'-5'",0,0,2,SRR6939943.arriba,tumor_exclusive,1.387631193,0.055579358,1.082147019,0.104599271,0.493019237,0.248018048,-0.220896345,0.584854525,translation
CTDNEP1,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/5'-5'",0,0,0,SRR6939960.arriba,tumor_exclusive,0.051612723,0.946253584,-1.173518716,0.005656017,0.552684963,0.571785777,-1.179748169,0.007485026,buffering
CXorf38,1,2,1,0,1,1,0,0,2,0,0,2,0,"5'UTR,intron",deletion/read-through,1,0,0.5,SRR6939935.arriba,tumor_exclusive,-0.500058236,0.274081121,-0.293168125,0.295287124,-0.248759974,0.605262784,-0.162355126,0.550717082,background
CYBB,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,"translocation,translocation/5'-5'",0,0,0,SRR6939956.arriba,tumor_exclusive,-1.258256326,0.015867722,-0.824749172,0.036128752,-0.435386455,0.216410129,0.106771637,0.732533938,translation
DZIP3,1,2,1,0,2,0,0,0,2,0,0,2,0,CDS,translocation,0,0,3,SRR6939956.arriba,tumor_exclusive,0.253688358,0.637130167,0.610549219,0.15279248,0.074099168000000007,0.915559825,0.548281244,0.196376375,buffering
EAF1,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/3'-3'",0,0,0,SRR6939947.arriba,tumor_exclusive,0.298521706,0.377381863,0.199985164,0.442794385,0.148351659,0.664087891,0.080209016,0.759996023,background
EIF5A,1,2,1,0,2,0,0,0,2,0,0,2,0,5'UTR/splice-site,deletion/read-through/5'-5',0,0,14,SRR6939935.arriba,tumor_exclusive,0.143326474,0.751246753,-0.486476315,0.142575767,0.479674376,0.232983491,-0.556013792,0.068185671,buffering
ERGIC3,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/3'-3'",0,0,0,SRR6939943.arriba,tumor_exclusive,0.245268184,0.440561071,0.205054342,0.539189742,0.170381466,0.585854965,0.042498569,0.905890345,background
FAM219A,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,1,SRR6939951.arriba,tumor_exclusive,0.405856748,0.633680405,-0.229084626,0.411162709,0.487167327,0.607321281,-0.239679119,0.379884831,background
FBXO7,1,2,1,0,0,2,0,0,2,0,0,2,0,CDS,deletion/read-through/3'-3',0,0,8,SRR6939960.arriba,tumor_exclusive,0.12789292,0.675703655,0.017940988,0.948643562,0.114481749,0.662418867,-0.085283457,0.712766162,background
FGFR1OP2,1,2,1,0,1,1,0,0,2,0,0,2,1,"intergenic,intron",deletion/read-through,0,0,0.5,SRR6939956.arriba,tumor_exclusive,-0.391569469,0.346822822,0.295918471,0.256615013,-0.372788541,0.429267161,0.288843999,0.26344234,background
FMO3,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,translocation/5'-5',0,0,2,SRR6939927.arriba,tumor_exclusive,-2.916244963,0.008488632,-2.0753445,0.049034933,-1.25330332,0.017314206,1.216962841,0.019459924,translation
GBP1,1,2,1,0,2,0,0,0,2,0,0,2,0,exon,"translocation,translocation/5'-5'",0,0,0,SRR6939931.arriba,tumor_exclusive,-1.590118118,0.056619641,-0.583436357,0.170777734,-0.634009239,0.1786799,0.185552615,0.507388617,abundance
GDAP2,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,"deletion/read-through,translocation",0,0,0,SRR6939927.arriba,tumor_exclusive,0.103851711,0.779926033,0.509186955,0.064743124,-0.042463128,0.930989766,0.490878495,0.070345036,buffering
GJA1,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,"translocation,translocation/3'-3'",0,0,0,SRR6939927.arriba,tumor_exclusive,0.363658855,0.568908487,1.253446442,0.019577427,-0.518894218,0.440818188,1.061690264,0.023328183,background
GRB7,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,translocation,0,0,0,SRR6939935.arriba,tumor_exclusive,1.134311728,0.057055005,-0.528253112,0.359803034,1.237301255,0.064963211,-0.819225886,0.188769591,translation
HDHD3,1,2,1,0,0,2,0,0,2,0,0,2,2,intergenic,"deletion/read-through,translocation",1,0,0,SRR6939956.arriba,tumor_exclusive,0.422564382,0.462125282,0.074227412,0.810400661,0.336535324,0.545997064,-0.020246658,0.95032848,background
HPGD,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,"translocation,translocation/5'-5'",0,0,2,SRR6939927.arriba,tumor_exclusive,-2.703281206,0.015844408,-1.484257436,0.075611656,-1.392323626,0.073001208,0.490056167,0.420902505,translation
IRF6,1,2,1,0,2,0,0,0,2,0,0,2,0,exon,"deletion/read-through,deletion/read-through/5'-5'",1,0,0,SRR6939964.arriba,tumor_exclusive,-0.737780947,0.541434627,-0.675540703,0.56473885,-0.136230725,0.744609974,0.106017531,0.776325193,background
KDM3A,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through/5'-5',0,0,1,SRR6939960.arriba,tumor_exclusive,0.142147647,0.700159778,0.373014122,0.272917678,-0.118407813,0.68392574,0.230887922,0.346063062,background
KDM8,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/3'-3'",1,0,0.5,SRR6939927.arriba,tumor_exclusive,-2.250957169,5.08083e-4,-3.418688499,1.79133e-4,-0.300264212,0.496968883,-0.43768945,0.329333743,abundance
KLHDC3,1,2,1,0,2,0,0,0,2,0,0,2,0,3'UTR,"deletion/read-through,deletion/read-through/5'-5'",1,0,0,SRR6939935.arriba,tumor_exclusive,0.664851608,0.057047544,0.553644327,0.031336191,0.173884767,0.683357174,0.345441276,0.140601948,abundance
LETMD1,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/5'-5'",0,0,2,SRR6939964.arriba,tumor_exclusive,0.21062364,0.611070635,0.45938419,0.289455319,0.134252147,0.777415952,0.396687115,0.364086396,background
MAGOH,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,"deletion/read-through,translocation",0,0,0,SRR6939935.arriba,tumor_exclusive,0.359373462,0.288371714,-0.111751153,0.783670644,0.396437383,0.217756928,-0.364348863,0.307876254,translation
MAP3K1,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,translocation,0,0,0,SRR6939956.arriba,tumor_exclusive,0.485455311,0.168375069,0.840361474,0.008101894,-0.392734801,0.238416793,0.544514725,0.030498431,abundance
MARCKSL1,1,2,1,0,2,0,0,0,2,0,0,2,2,intergenic,translocation,0,0,0,SRR6939956.arriba,tumor_exclusive,1.014119919,0.147458793,-0.507755082,0.365406101,1.487834224,0.015300099,-1.248449331,0.008415528,translation
MIOS,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,translocation,0,0,0,SRR6939964.arriba,tumor_exclusive,-0.901092802,0.029462572,-0.041376766,0.915210032,-0.894922604,0.044968543,0.108567187,0.815349214,translation
MMRN2,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/3'-3'",0,0,0,SRR6939935.arriba,tumor_exclusive,-0.294386826,0.513924752,-0.450328968,0.17802621,0.16665168,0.642230017,-0.260302897,0.296110194,background
MOV10,1,2,1,0,2,0,0,0,2,0,0,2,0,exon,deletion/read-through,0,0,3,SRR6939956.arriba,tumor_exclusive,-0.455641786,0.244695564,-0.390024384,0.314073958,-0.157789884,0.571790369,0.091140923,0.732963362,background
MRPL47,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through/3'-3',0,0,30,SRR6939935.arriba,tumor_exclusive,0.358104015,0.348043282,1.459763755,6.79618e-4,-0.528756121,0.331456184,1.304165679,0.002523046,buffering
MRPS28,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,"inversion/3'-3',translocation",0,0,1,SRR6939931.arriba,tumor_exclusive,0.213210584,0.66601646,0.079898801,0.867920842,0.154483194,0.686835853,-0.094969418,0.785014168,background
MS4A7,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,1,SRR6939951.arriba,tumor_exclusive,-1.357019165,0.008488632,-0.603455391,0.092909609,-0.843474803,0.054173281,0.226635653,0.516860166,translation
NAA30,1,2,1,0,0,2,0,0,2,0,0,2,0,CDS,"deletion/read-through,deletion/read-through/5'-5'",0,0,6,SRR6939935.arriba,tumor_exclusive,0.314227547,0.460508901,0.560009288,0.039932031,0.354192496,0.509003253,0.566019828,0.039257601,background
NENF,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,"translocation,translocation/3'-3'",0,0,0,SRR6939927.arriba,tumor_exclusive,0.524319551,0.30691798,0.53503333,0.16371506,0.187096647,0.742271853,0.327798857,0.355100467,background
PATL1,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/5'-5'",0,0,0,SRR6939931.arriba,tumor_exclusive,0.201977376,0.587773864,0.05168292,0.871818084,0.167950085,0.631794013,-0.044137916,0.884263409,background
PGM3,1,2,1,0,1,1,0,0,2,0,0,2,0,"5'UTR,exon","deletion/read-through,deletion/read-through/5'-5'",0,0,0,SRR6939935.arriba,tumor_exclusive,-0.516317487,0.195584552,0.527038153,0.134199174,-0.954771635,0.016541844,0.938063411,0.006141257,translation
PKD2,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,translocation,0,0,6,SRR6939964.arriba,tumor_exclusive,-0.897994444,0.139118969,-0.256445691,0.590373005,-0.624793305,0.097287949,0.403405207,0.164982327,translation
POLR2H,1,2,1,0,2,0,0,0,2,0,0,2,2,intergenic,deletion/read-through,0,0,6,SRR6939927.arriba,tumor_exclusive,0.94866385,0.028564615,0.698790306,0.074421509,0.668312641,0.131016085,0.232459364,0.595325226,abundance
PPP2R1B,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through/3'-3',0,0,0.5,SRR6939960.arriba,tumor_exclusive,-0.310923041,0.501261608,-0.540018146,0.174007289,0.169583243,0.599774021,-0.270990728,0.291086407,background
PURA,1,2,1,0,1,1,0,0,2,0,0,2,0,3'UTR,"deletion/read-through/3'-3',deletion/read-through/5'-5'",1,0,4.5,SRR6939964.arriba,tumor_exclusive,-0.216633546,0.411637476,0.303151331,0.229637548,-0.17401014,0.517262159,0.241988742,0.326070147,background
QDPR,1,2,1,0,2,0,0,0,2,0,0,2,0,CDS,deletion/read-through,0,0,31,SRR6939931.arriba,tumor_exclusive,-0.94587815,0.077347483,-0.918153531,0.092069835,-0.18743735,0.451213089,0.178634751,0.426606889,abundance
RABAC1,1,2,1,0,2,0,0,0,2,0,0,2,0,CDS,deletion/read-through/5'-5',0,0,0,SRR6939927.arriba,tumor_exclusive,-0.384363549,0.31276977,-0.896239546,0.009271305,0.11460248,0.833457948,-0.756442987,0.01921603,buffering
RASSF4,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,"translocation,translocation/5'-5'",0,0,0,SRR6939943.arriba,tumor_exclusive,1.03284879,0.035353142,0.494075947,0.10230941,0.81352682,0.126002938,0.319992362,0.309752216,translation
RPS4X,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,0,SRR6939927.arriba,tumor_exclusive,0.42066946,0.342454129,1.025798319,0.016811307,0.247255015,0.655760618,0.95832927,0.029638303,buffering
S100A16,1,2,1,0,1,1,0,0,2,0,0,2,0,"5'UTR,intron","deletion/read-through,deletion/read-through/3'-3'",1,0,0.5,SRR6939960.arriba,tumor_exclusive,0.083874714,0.894320043,-0.23594415,0.65004075,0.304760989,0.265586266,-0.317065129,0.185802535,background
SERPINH1,1,2,1,0,1,1,0,0,2,0,0,2,2,intergenic,deletion/read-through,0,0,0.5,SRR6939951.arriba,tumor_exclusive,1.025889594,0.104259909,0.342291785,0.432271709,0.597075193,0.087329509,-0.356296903,0.165859449,translation
SLC15A3,1,2,1,0,1,1,0,0,2,0,0,2,1,"CDS,intergenic",deletion/read-through,1,0,341.5,SRR6939935.arriba,tumor_exclusive,-0.216583932,0.700862819,-1.219894334,0.013770842,0.741091338,0.138185365,-1.075193366,0.009501263,background
SLC31A1,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,deletion/read-through,1,0,0.5,SRR6939956.arriba,tumor_exclusive,-0.854407837,0.056214282,-0.329809399,0.448591586,-0.623042462,0.066966923,0.496900858,0.137093899,translation
SMARCE1,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,2,SRR6939931.arriba,tumor_exclusive,0.425579316,0.125252475,1.19447689,0.014154675,0.2407119,0.407865081,0.646377816,0.192847064,abundance
SNRPB2,1,2,1,0,0,2,0,0,2,0,0,2,2,intergenic,translocation,0,0,0,SRR6939964.arriba,tumor_exclusive,-0.133716454,0.671140545,0.731827206,0.021482404,-0.204139822,0.552722968,0.752624651,0.020734344,buffering
SOD3,1,2,1,0,2,0,0,0,2,0,0,2,0,5'UTR,translocation,0,0,2,SRR6939931.arriba,tumor_exclusive,-0.38427691,0.737264252,-1.953160492,0.029713675,1.703044167,0.014682051,-1.641212997,0.002523046,background
SRP72,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,translocation/5'-5',0,0,0,SRR6939935.arriba,tumor_exclusive,0.458013811,0.204858956,1.029637273,0.009617578,-0.247992381,0.459606979,0.631903994,0.038037601,abundance
STRIP1,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,translocation/5'-5',0,0,2,SRR6939927.arriba,tumor_exclusive,0.103740141,0.819026728,0.292948974,0.350468614,-0.117427205,0.786575762,0.244188651,0.374820742,background
SUOX,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,deletion/read-through/5'-5',0,0,2,SRR6939951.arriba,tumor_exclusive,-1.109745327,0.019308942,-0.48629692,0.132004362,-0.678484351,0.095897811,0.093621085,0.789053538,translation
SYF2,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/3'-3'",0,0,1,SRR6939960.arriba,tumor_exclusive,0.035744737,0.920951797,0.421145038,0.179933537,-0.041234567,0.919395504,0.410771248,0.1825692,buffering
TAF6L,1,2,1,0,2,0,0,0,2,0,0,2,0,CDS,"deletion/read-through,deletion/read-through/5'-5'",0,0,3,SRR6939960.arriba,tumor_exclusive,0.133784752,0.794298671,-0.665250231,0.115683686,0.477560262,0.327279388,-0.734207504,0.063550745,background
THUMPD1,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/3'-3'",0,0,1,SRR6939931.arriba,tumor_exclusive,-0.41688369,0.270361913,0.53009007,0.1383199,-0.699694945,0.075122576,0.795386099,0.025990151,translation
TIPARP,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,0,SRR6939931.arriba,tumor_exclusive,-0.066173215,0.897329825,0.206756196,0.55631088,-0.263123274,0.455874095,0.247865097,0.34526354,background
TMEM109,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,"translocation,translocation/5'-5'",0,0,0,SRR6939964.arriba,tumor_exclusive,0.541559045,0.163961591,-0.111904369,0.708061393,0.6570923,0.060338613,-0.390186548,0.117492597,translation
TNFRSF1A,1,2,1,0,1,1,0,0,2,0,0,2,0,"3'UTR,intron",deletion/read-through,1,0,0.5,SRR6939935.arriba,tumor_exclusive,-0.229688431,0.53260107,-0.852438396,0.012100835,0.461175525,0.181865546,-0.698774574,0.015289779,background
TPGS2,1,2,1,0,1,1,0,0,2,0,0,2,0,intron,"inversion/5'-5',translocation",0,0,0,SRR6939960.arriba,tumor_exclusive,0.341688393,0.446503943,0.671804024,0.047441158,-0.341641686,0.394152206,0.475897363,0.075265348,background
TUBA4A,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,deletion/read-through,0,0,0,SRR6939935.arriba,tumor_exclusive,1.021109851,0.091978782,0.757473023,0.140123372,0.275484361,0.373516829,-0.157115856,0.561820401,abundance
UGT3A1,1,2,1,0,0,2,0,0,2,0,0,2,2,intergenic,deletion/read-through,1,0,0,SRR6939943.arriba,tumor_exclusive,-2.377585144,0.065307155,-1.828522294,0.095678543,-0.612651456,0.287024975,0.316789245,0.52125953,abundance
UQCR10,1,2,1,0,0,2,0,0,2,0,0,2,2,intergenic,deletion/read-through,0,0,1,SRR6939951.arriba,tumor_exclusive,0.401690407,0.330533264,0.530814712,0.102775975,-0.128524159,0.727126838,0.263074274,0.286333129,background
USF1,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,"translocation,translocation/3'-3'",0,0,0,SRR6939956.arriba,tumor_exclusive,0.370580137,0.336828949,0.187815053,0.455620265,0.170452374,0.662360159,0.078342374,0.756876109,background
XPC,1,2,1,0,2,0,0,0,2,0,0,2,0,"CDS,intron","deletion/read-through,deletion/read-through/5'-5'",1,0,1,SRR6939931.arriba,tumor_exclusive,-0.066933743,0.857542388,-0.286044139,0.220080678,0.092262532,0.820883058,-0.27536403,0.214676107,background
ZBTB43,1,2,1,0,2,0,0,0,2,0,0,2,0,intron,translocation,0,0,0,SRR6939927.arriba,tumor_exclusive,-0.181247503,0.686139356,-0.263719314,0.308881266,0.051636654,0.921098084,-0.220530908,0.36227636,background
ZFP36L2,1,2,1,0,2,0,0,0,2,0,0,2,0,CDS,deletion/read-through,0,0,22.5,SRR6939951.arriba,tumor_exclusive,-0.136778749,0.759747286,-0.873059209,0.012948635,0.691460067,0.111539937,-0.796295663,0.009645441,background
ZFYVE19,1,2,1,0,0,2,0,0,2,0,0,2,0,CDS/splice-site,"deletion/read-through,deletion/read-through/3'-3'",0,0,0,SRR6939964.arriba,tumor_exclusive,-0.146514337,0.740199922,-0.368272151,0.264084,0.066619049,0.8902838,-0.305009882,0.309634868,background
ZSWIM8,1,2,1,0,0,2,0,0,2,0,0,2,0,intron,"deletion/read-through,deletion/read-through/3'-3'",0,0,0,SRR6939927.arriba,tumor_exclusive,-0.522251787,0.081230334,-0.659897067,0.033710991,-0.287557422,0.349853072,-0.340460076,0.235643188,abundance
ABHD17B,1,1,1,0,1,0,0,0,1,0,0,1,0,intron,deletion/read-through,1,0,0,SRR6939935.arriba,tumor_exclusive,-0.104190398,0.802386714,0.335319005,0.299370054,-0.357784602,0.268323954,0.40446234,0.132075385,background
ACAA2,1,1,1,0,1,0,0,0,1,0,0,1,0,intron,deletion/read-through,1,0,0,SRR6939951.arriba,tumor_exclusive,-2.376652894,0.002203697,-1.528635378,0.010884907,-0.932915949,0.0529748,0.525449552,0.221772695,translation
ACE,1,1,1,0,1,0,0,0,1,0,0,1,0,5'UTR,deletion/read-through/5'-5',0,0,0,SRR6939951.arriba,tumor_exclusive,0.189310053,0.79553001,0.168793989,0.803571478,0.084782842,0.902302554,0.038152061,0.950617153,background
ACP5,1,1,1,0,1,0,0,0,1,0,0,1,0,5'UTR,deletion/read-through,0,0,1,SRR6939931.arriba,tumor_exclusive,-0.053705925,0.914238905,-0.01404417,0.974184102,-0.044453379,0.917395344,0.031553212,0.935561549,background
ACSS3,1,1,1,0,1,0,0,0,1,0,0,1,0,intron,deletion/read-through/5'-5',1,0,1,SRR6939927.arriba,tumor_exclusive,-1.389371692,0.148834066,-0.083319417,0.913260878,-1.289184559,0.011715295,0.968925931,0.007799634,translation
ADH4,1,1,1,0,0,1,0,0,1,0,0,1,0,intron,deletion/read-through/5'-5',0,0,0,SRR6939943.arriba,tumor_exclusive,-3.260192676,4.22139e-4,-2.193002686,0.002826991,-1.24428648,0.011715295,0.992884209,0.016790448,translation
AEN,1,1,1,0,0,1,0,0,1,0,0,1,0,intron,deletion/read-through/3'-3',1,0,0,SRR6939956.arriba,tumor_exclusive,0.436485195,0.357445158,0.398259166,0.114930187,-0.056275627,0.930265276,0.313944606,0.182022958,background
AGPAT1,1,1,1,0,0,1,0,0,1,0,0,1,0,3'UTR,deletion/read-through/5'-5',1,0,6,SRR6939947.arriba,tumor_exclusive,1.176713284,0.014025341,0.552867184,0.094480813,0.778913392,0.085398357,0.009275581,0.984759031,translation
AKIRIN2,1,1,1,0,1,0,0,0,1,0,0,1,0,intron,deletion/read-through,1,0,2,SRR6939935.arriba,tumor_exclusive,0.05343716,0.894900305,-0.636395979,0.019813805,0.738119891,0.071821479,-0.657264286,0.012145845,buffering
AKR1C4,1,1,1,0,1,0,0,0,1,0,0,1,0,intron,deletion/read-through,1,0,1,SRR6939960.arriba,tumor_exclusive,-1.455078753,0.144765393,-0.547465764,0.57581853,-0.953521118,0.014690251,0.981991523,0.006212068,translation
ALDOA,1,1,1,0,0,1,0,0,1,0,0,1,1,intergenic,translocation,0,0,0,SRR6939927.arriba,tumor_exclusive,0.921121913,0.042038349,0.544158422,0.130021282,0.397954375,0.185953938,-0.184817031,0.467481544,translation
ALG5,1,1,1,0,0,1,0,0,1,0,0,1,0,intron,deletion/read-through,0,0,0,SRR6939931.arriba,tumor_exclusive,0.052604996,0.916666418,0.880893816,0.037015826,-0.647835254,0.078326147,0.836111094,0.011408173,background
ALKBH7,1,1,1,0,1,0,0,0,1,0,0,1,0,intron,deletion/read-through,0,0,1,SRR6939943.arriba,tumor_exclusive,-0.500822137,0.204967989,-1.015016321,0.018745243,0.003258235,0.994569344,-0.675717372,0.069676132,abundance
ALYREF,1,1,1,0,1,0,0,0,1,0,0,1,0,intron,deletion/read-through,0,0,0,SRR6939935.arriba,tumor_exclusive,0.82425129,0.063682103,0.685356904,0.049128662,0.09302838,0.801822204,0.093130592,0.728252769,abundance
AMDHD1,1,1,1,0,0,1,0,0,1,0,0,1,1,intergenic,deletion/read-through,0,0,1,SRR6939951.arriba,tumor_exclusive,-1.988972931,0.005062962,-1.613960155,0.030618211,-0.819479777,0.013000565,1.037963314,0.003523635,translation
ANGPTL2,1,1,1,0,0,1,0,0,1,0,0,1,0,intron,translocation,0,0,0,SRR6939935.arriba,tumor_exclusive,-0.544629264,0.290042466,-0.868011782,0.055059707,0.077560868,0.892646758,-0.524681575,0.149349266,background
ANKS4B,1,1,1,0,0,1,0,0,1,0,0,1,0,intron,translocation,0,0,0,SRR6939939.arriba,tumor_exclusive,-0.779662547,0.18242159,-0.542537792,0.160671574,-0.181569393,0.72596231,-0.143791161,0.65640568,abundance
AP2M1,1,1,1,0,1,0,0,0,1,0,0,1,0,exon,deletion/read-through,0,0,1,SRR6939927.arriba,tumor_exclusive,0.451854026,0.139697117,0.210486838,0.477507633,0.317438122,0.219766724,-0.200600611,0.424014758,background
APH1A,1,1,1,0,1,0,0,0,1,0,0,1,0,3'UTR,deletion/read-through,1,0,14,SRR6939951.arriba,tumor_exclusive,1.200438779,0.007966542,0.593246017,0.032062373,0.816983568,0.091064742,0.337614339,0.253740968,translation
API5,1,1,1,0,1,0,0,0,1,0,0,1,0,3'UTR,deletion/read-through,1,0,11,SRR6939956.arriba,tumor_exclusive,-0.519344665,0.110607748,0.367782575,0.281835856,-0.711301642,0.031747286,0.882555069,0.013014705,translation
APOOL,1,1,1,0,0,1,0,0,1,0,0,1,0,intron,deletion/read-through,0,0,0,SRR6939956.arriba,tumor_exclusive,-0.273606962,0.545542742,0.128883622,0.716777613,-0.396746703,0.245703304,0.297022314,0.259329622,translation
ARAF,1,1,1,0,0,1,0,0,1,0,0,1,0,CDS,translocation,0,0,10,SRR6939960.arriba,tumor_exclusive,-0.508927211,0.333291369,-0.527678067,0.045627751,-0.211343725,0.78764264,-0.491385433,0.060012168,background
