gene_symbol,translatedmRNA.apvEff,translatedmRNA.apvRvmPAdj,totalmRNA.apvEff,totalmRNA.apvRvmPAdj,translation.apvEff,translation.apvRvmPAdj,buffering.apvEff,buffering.apvRvmPAdj,singleRegMode
KANK2,-0.391621278,0.381543828,-0.650861311,0.055395547,0.321069616,0.355650653,-0.406095617,0.105191151,background
GTF2E2,-0.312040066,0.408305685,0.05600833,0.871178892,-0.308025347,0.433807089,0.03742383,0.921452377,background
FITM2,0.472138091,0.320481705,0.386944586,0.311184878,0.152905205,0.724436573,0.08774455,0.794736811,background
ZNF720,0.642758684,0.332098188,0.529764245,0.153751153,0.359248092,0.664979981,0.423093089,0.253595426,background
DDI2,-0.725692566,0.06080538,-0.197253477,0.554681478,-0.685702666,0.092893465,-0.05781881,0.893686282,translation
SVIL,-0.383670638,0.428136937,-0.464221408,0.307744293,-0.049662771,0.911993019,-0.135560625,0.69903442,background
TRIM33,0.102354425,0.750161689,0.338054434,0.134405719,-0.025749659,0.952638627,0.324991426,0.133027846,background
LRP10,0.630938387,0.111824071,-0.185217852,0.562859791,0.790932581,0.036060096,-0.562721965,0.046951788,translation
PELI1,-0.145274901,0.755808768,-0.231197909,0.589035459,0.009123957,0.984664809,-0.11299326,0.742332622,background
ZNF655,0.112237326,0.782392814,0.208750165,0.599451845,0.072684818,0.875033471,0.175307283,0.661423906,background
MRPL21,0.426619815,0.283469676,0.709174548,0.057914624,-0.047150944,0.917158425,0.40650685,0.180543561,background
DACT3,1.226648169,0.428966769,-2.573324103,0.006458377,2.212820435,0.311756763,-2.724846238,0.008053392,buffering
HTT,-0.074197397,0.81102221,0.021217174,0.933683429,-0.080207998,0.801102057,0.035692974,0.890986039,background
C5AR1,-1.020674797,0.093597279,-1.628601273,0.001039933,0.956738378,0.133103657,-1.166533362,0.003885696,abundance
CYP2B6,-5.287753522,0.000116156,-5.850731054,5.87E-06,0.86837776,0.512796074,-2.648155008,0.003762031,abundance
MAP3K5,-1.05156512,0.087409145,-1.794832558,0.016806347,0.226003192,0.545152911,-0.54289806,0.119776117,abundance
